"用户ID","特征","清洁效率","耗材","对比","时间"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:85%\n日均清扫:45㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余60天\nHEPA滤网:剩余40%","优于65%同面积用户（清洁频率更高）","2025-01"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:88%\n避障失败:2次/周（电线+数据线）","边刷磨损:重度-\n尘盒清理:每2天","拖地功能使用率低于同类30%+建议整理线路","2025-03"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:92%\n地毯增压使用:16次/月","胶刷更换:已更换\n尘盒容量:每日清理","毛发处理效率前15%","2025-03"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:7次/月\n自动回充成功率:88%","主刷缠绕:严重\n滤网更换:已更换","升级吸力后清洁效率提升5%","2025-03"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:93%\n定时清扫使用率:2次/周","电池衰减:27%\n水箱首次激活:使用1次","语音控制功能已预约安装","2025-03"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:2次/周\n玩具避障率:78%","边刷更换:1次/季度\n集尘袋消耗:1个/月","机械臂配件已加装+跨楼层导航优化","2025-03"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:92%\n日均清扫:37㎡\n沿边清扫无死角","滤网寿命:剩余70天\n尘盒清理:每4天","清洁效率优于75%小户型用户","2025-03"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:88%\n餐桌区域漏扫:0次/天\n避障成功率:92%","主刷磨损:中度-\n水箱加水:每日1次","大理石地面清洁效果与同类持平","2025-03"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:88%\n自动回充成功率:94%","胶刷缠绕:轻度+\n滤网更换:剩余20天","养宠家庭中清洁效率处于上等水平","2025-03"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:85%\n手动辅助清扫:2次/天\n定时清扫使用率:70%","电池衰减:17%\n边刷寿命:剩余35天","大户型中操作便捷性与同类持平","2025-03"
"1011","60㎡公寓 | 单身 | 木地板","覆盖率:88%\n日均清扫:44㎡\n漏扫区域:床底","主刷寿命:剩余45天\nHEPA滤网:剩余28%","优于72%同面积用户","2025-03"
"1012","75㎡公寓 | 情侣 | 瓷砖","覆盖率:89%\n避障失败:1次/周","边刷磨损:中度\n尘盒清理:每3天","拖地功能使用率与同类持平","2025-03"
"1013","95㎡ | 1狗 | 长毛地毯","毛发清理:92%\n地毯增压使用:17次/月","胶刷更换:已更换\n尘盒容量:每日清理","毛发处理效率前14%","2025-03"
"1014","88㎡ | 1猫 | 混合地面","猫砂泼洒处理:7次/月\n自动回充成功率:90%","主刷缠绕:中度\n滤网更换:剩余25天","清洁效率优于同类养宠家庭18%","2025-03"
"1015","110㎡ | 老人 | 防滑砖","手动操作占比:88%\n定时清扫使用率:2次/周","电池衰减:24%\n水箱首次激活:使用1次","语音控制功能已预约安装","2025-03"
"1016","160㎡别墅 | 儿童 | 多层","跨楼层失败:3次/周\n玩具避障率:75%","边刷更换:1次/季度\n集尘袋消耗:1.1个/月","机械臂配件已加装+跨楼层导航优化","2025-03"
"1017","50㎡一居 | 独居 | 复合地板","覆盖率:93%\n日均清扫:34㎡\n沿边清扫无死角","滤网寿命:剩余68天\n尘盒清理:每4天","清洁效率优于76%小户型用户","2025-03"
"1018","105㎡三居 | 三口之家 | 大理石","覆盖率:87%\n餐桌区域漏扫:0次/天\n避障成功率:91%","主刷磨损:中度\n水箱加水:每日1次","大理石地面清洁效果与同类持平","2025-03"
"1019","78㎡两居 | 养宠 | 仿实木","宠物毛发清理:87%\n自动回充成功率:93%","胶刷缠绕:中度\n滤网更换:剩余18天","养宠家庭中清洁效率处于中上等水平","2025-03"
"1020","125㎡四居 | 三代同堂 | 通体砖","覆盖率:86%\n手动辅助清扫:2次/天\n定时清扫使用率:68%","电池衰减:16%\n边刷寿命:剩余32天","大户型中操作便捷性与同类持平","2025-03"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:88%\n日均清扫:48㎡\n漏扫区域:无（沙发底部垫高）","主刷寿命:剩余45天\nHEPA滤网:剩余25%","优于75%同面积用户（清洁无死角）","2025-04"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:89%\n避障失败:1次/周（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","拖地功能使用率提升至同类平均水平","2025-04"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:93%\n地毯增压使用:17次/月","胶刷更换:剩余45天\n尘盒容量:每2天清理","毛发处理效率前10%","2025-04"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:6次/月\n自动回充成功率:90%","主刷缠绕:中度+\n滤网寿命:剩余60天","清洁效率优于同类养宠家庭20%","2025-04"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:85%\n定时清扫使用率:5次/周","电池衰减:28%\n水箱使用率:50%","语音控制功能已安装+操作熟练度提升","2025-04"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:1次/周\n玩具避障率:85%","边刷寿命:剩余60天\n集尘袋消耗:0.8个/月","清洁效率优于80%大户型多层用户","2025-04"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:93%\n日均清扫:38㎡\n沿边清扫无死角","滤网寿命:剩余65天\n尘盒清理:每5天","清洁效率优于80%小户型用户","2025-04"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:90%\n避障成功率:95%","主刷寿命:剩余70天\n水箱加水:每日1次","大理石地面清洁效果优于同类10%","2025-04"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:90%\n自动回充成功率:95%","胶刷缠绕:轻度\n滤网寿命:剩余50天","养宠家庭中清洁效率前20%","2025-04"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:87%\n手动辅助清扫:1次/天\n定时清扫使用率:75%","电池衰减:18%\n边刷寿命:剩余30天","大户型中操作便捷性优于同类10%","2025-04"
"1011","60㎡公寓 | 单身 | 木地板","覆盖率:89%\n日均清扫:45㎡\n漏扫区域:无（床底垫高）","主刷寿命:剩余40天\nHEPA滤网:剩余23%","优于74%同面积用户","2025-04"
"1012","75㎡公寓 | 情侣 | 瓷砖","覆盖率:90%\n避障失败:0次/周","边刷寿命:剩余55天\n尘盒清理:每4天","拖地功能使用率优于同类5%","2025-04"
"1013","95㎡ | 1狗 | 长毛地毯","毛发清理:93%\n地毯增压使用:18次/月","胶刷更换:剩余40天\n尘盒容量:每2天清理","毛发处理效率前12%","2025-04"
"1014","88㎡ | 1猫 | 混合地面","猫砂泼洒处理:6次/月\n自动回充成功率:91%","主刷缠绕:轻度+\n滤网寿命:剩余55天","清洁效率优于同类养宠家庭22%","2025-04"
"1015","110㎡ | 老人 | 防滑砖","手动操作占比:82%\n定时清扫使用率:5次/周","电池衰减:25%\n水箱使用率:55%","语音控制功能已安装+操作熟练度提升","2025-04"
"1016","160㎡别墅 | 儿童 | 多层","跨楼层失败:2次/周\n玩具避障率:82%","边刷寿命:剩余65天\n集尘袋消耗:0.9个/月","清洁效率优于78%大户型多层用户","2025-04"
"1017","50㎡一居 | 独居 | 复合地板","覆盖率:94%\n日均清扫:35㎡\n沿边清扫无死角","滤网寿命:剩余63天\n尘盒清理:每5天","清洁效率优于82%小户型用户","2025-04"
"1018","105㎡三居 | 三口之家 | 大理石","覆盖率:89%\n避障成功率:94%","主刷寿命:剩余72天\n水箱加水:每日1次","大理石地面清洁效果优于同类8%","2025-04"
"1019","78㎡两居 | 养宠 | 仿实木","宠物毛发清理:89%\n自动回充成功率:94%","胶刷缠绕:轻度\n滤网寿命:剩余48天","养宠家庭中清洁效率前18%","2025-04"
"1020","125㎡四居 | 三代同堂 | 通体砖","覆盖率:88%\n手动辅助清扫:1次/天\n定时清扫使用率:73%","电池衰减:17%\n边刷寿命:剩余28天","大户型中操作便捷性优于同类12%","2025-04"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:89%\n日均清扫:49㎡\n无漏扫区域","主刷寿命:剩余40天\nHEPA滤网:剩余20%","优于80%同面积用户（清洁效率拉满）","2025-05"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:90%\n避障失败:0次/周","边刷寿命:剩余50天\n尘盒清理:每4天","拖地功能使用率优于同类10%","2025-05"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:94%\n地毯增压使用:18次/月","胶刷寿命:剩余40天\n尘盒清理:每2天","毛发处理效率前8%","2025-05"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:5次/月\n自动回充成功率:92%","主刷缠绕:轻度\n滤网寿命:剩余55天","清洁效率优于同类养宠家庭25%","2025-05"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:75%\n定时清扫使用率:7次/周","电池衰减:29%\n水箱使用率:70%","语音控制功能使用熟练度满分","2025-05"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:0次/周\n玩具避障率:90%","边刷寿命:剩余55天\n集尘袋消耗:0.7个/月","清洁效率优于90%大户型多层用户","2025-05"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:94%\n日均清扫:39㎡\n无漏扫区域","滤网寿命:剩余60天\n尘盒清理:每5天","清洁效率优于85%小户型用户","2025-05"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:91%\n避障成功率:96%","主刷寿命:剩余65天\n水箱加水:每日1次","大理石地面清洁效果优于同类15%","2025-05"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:91%\n自动回充成功率:96%","胶刷缠绕:无\n滤网寿命:剩余45天","养宠家庭中清洁效率前15%","2025-05"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:88%\n手动辅助清扫:1次/天\n定时清扫使用率:80%","电池衰减:19%\n边刷寿命:剩余25天","大户型中操作便捷性优于同类15%","2025-05"
"1011","60㎡公寓 | 单身 | 木地板","覆盖率:90%\n日均清扫:46㎡\n无漏扫区域","主刷寿命:剩余35天\nHEPA滤网:剩余18%","优于76%同面积用户","2025-05"
"1012","75㎡公寓 | 情侣 | 瓷砖","覆盖率:91%\n避障成功率:100%","边刷寿命:剩余50天\n尘盒清理:每5天","拖地功能使用率优于同类12%","2025-05"
"1013","95㎡ | 1狗 | 长毛地毯","毛发清理:94%\n地毯增压使用:19次/月","胶刷寿命:剩余35天\n尘盒清理:每2天","毛发处理效率前10%","2025-05"
"1014","88㎡ | 1猫 | 混合地面","猫砂泼洒处理:5次/月\n自动回充成功率:93%","主刷缠绕:轻度\n滤网寿命:剩余50天","清洁效率优于同类养宠家庭25%","2025-05"
"1015","110㎡ | 老人 | 防滑砖","手动操作占比:72%\n定时清扫使用率:7次/周","电池衰减:26%\n水箱使用率:75%","语音控制功能使用熟练度提升","2025-05"
"1016","160㎡别墅 | 儿童 | 多层","跨楼层失败:0次/周\n玩具避障率:92%","边刷寿命:剩余60天\n集尘袋消耗:0.6个/月","清洁效率优于92%大户型多层用户","2025-05"
"1017","50㎡一居 | 独居 | 复合地板","覆盖率:95%\n日均清扫:36㎡\n无漏扫区域","滤网寿命:剩余58天\n尘盒清理:每5天","清洁效率优于88%小户型用户","2025-05"
"1018","105㎡三居 | 三口之家 | 大理石","覆盖率:90%\n避障成功率:96%","主刷寿命:剩余70天\n水箱加水:每日1次","大理石地面清洁效果优于同类12%","2025-05"
"1019","78㎡两居 | 养宠 | 仿实木","宠物毛发清理:91%\n自动回充成功率:96%","胶刷缠绕:无\n滤网寿命:剩余42天","养宠家庭中清洁效率前15%","2025-05"
"1020","125㎡四居 | 三代同堂 | 通体砖","覆盖率:89%\n手动辅助清扫:0次/天\n定时清扫使用率:78%","电池衰减:18%\n边刷寿命:剩余22天","大户型中操作便捷性优于同类18%","2025-05"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:85%\n日均清扫:45㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余60天\nHEPA滤网:剩余40%","优于65%同面积用户（清洁频率更高）","2025-06"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:88%\n避障失败:2次/周（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","拖地功能使用率低于同类30%","2025-06"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:92%\n地毯增压使用:15次/月","胶刷更换:剩余25天\n尘盒容量:每日清理","毛发处理效率前15%","2025-06"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:8次/月\n自动回充成功率:89%","主刷缠绕:严重\n滤网更换:急需","建议升级吸力至2500Pa","2025-06"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:95%\n定时清扫未使用","电池衰减:25%\n水箱未激活","急需语音控制功能","2025-06"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:3次/周\n玩具避障率:76%","边刷更换:2次/季度\n集尘袋消耗:1个/月","建议增加机械臂配件","2025-06"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:90%\n日均清扫:35㎡\n沿边清扫无死角","滤网寿命:剩余80天\n尘盒清理:每5天","清洁效率优于70%小户型用户","2025-06"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:86%\n餐桌区域漏扫:1次/天\n避障成功率:90%","主刷磨损:轻度\n水箱加水:每日2次","大理石地面清洁效果低于同类15%","2025-06"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:85%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余30天","养宠家庭中清洁效率处于中等水平","2025-06"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:82%\n手动辅助清扫:3次/天\n定时清扫使用率:60%","电池衰减:15%\n边刷寿命:剩余45天","大户型中操作便捷性低于同类20%","2025-06"
"1011","60㎡公寓 | 单身 | 木地板","覆盖率:86%\n日均清扫:44㎡\n漏扫区域:床底","主刷寿命:剩余52天\nHEPA滤网:剩余35%","优于67%同面积用户","2025-06"
"1012","75㎡公寓 | 情侣 | 瓷砖","覆盖率:87%\n避障失败:2次/周","边刷磨损:轻度\n尘盒清理:每3天","拖地功能使用率与同类持平","2025-06"
"1013","95㎡ | 1狗 | 长毛地毯","毛发清理:90%\n地毯增压使用:15次/月","胶刷更换:剩余26天\n尘盒容量:每日清理","毛发处理效率前17%","2025-06"
"1014","88㎡ | 1猫 | 混合地面","猫砂泼洒处理:7次/月\n自动回充成功率:89%","主刷缠绕:中度\n滤网更换:剩余33天","清洁效率优于同类养宠家庭14%","2025-06"
"1015","110㎡ | 老人 | 防滑砖","手动操作占比:93%\n定时清扫未使用","电池衰减:23%\n水箱未激活","需语音控制功能","2025-06"
"1016","160㎡别墅 | 儿童 | 多层","跨楼层失败:4次/周\n玩具避障率:72%","边刷更换:2次/季度\n集尘袋消耗:1.2个/月","建议增加机械臂配件","2025-06"
"1017","50㎡一居 | 独居 | 复合地板","覆盖率:91%\n日均清扫:33㎡\n沿边清扫无死角","滤网寿命:剩余76天\n尘盒清理:每5天","清洁效率优于71%小户型用户","2025-06"
"1018","105㎡三居 | 三口之家 | 大理石","覆盖率:85%\n餐桌区域漏扫:1次/天\n避障成功率:89%","主刷磨损:轻度\n水箱加水:每日2次","大理石地面清洁效果低于同类11%","2025-06"
"1019","78㎡两居 | 养宠 | 仿实木","宠物毛发清理:84%\n自动回充成功率:91%","胶刷缠绕:中度\n滤网更换:剩余26天","养宠家庭中清洁效率处于中下水平","2025-06"
"1020","125㎡四居 | 三代同堂 | 通体砖","覆盖率:83%\n手动辅助清扫:3次/天\n定时清扫使用率:58%","电池衰减:14%\n边刷寿命:剩余40天","大户型中操作便捷性低于同类17%","2025-06"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:84%\n日均清扫:44㎡\n漏扫区域:沙发底部+床底","主刷寿命:剩余55天\nHEPA滤网:剩余35%","优于62%同面积用户（清洁频率略降）","2025-07"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:87%\n避障失败:3次/周（电线+拖鞋）","边刷磨损:中度+\n尘盒清理:每2天","拖地功能使用率低于同类33%","2025-07"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:91%\n地毯增压使用:14次/月","胶刷更换:剩余20天\n尘盒容量:每日清理2次","毛发处理效率前20%","2025-07"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:9次/月\n自动回充成功率:87%","主刷缠绕:严重+\n滤网更换:紧急","建议升级吸力+更换防缠绕主刷","2025-07"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:96%\n定时清扫未使用（操作遗忘）","电池衰减:26%\n水箱未激活","需重新指导语音控制功能使用","2025-07"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:4次/周\n玩具避障率:73%","边刷更换:待更换\n集尘袋消耗:1.3个/月","机械臂配件故障+需检修跨楼层导航","2025-07"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:89%\n日均清扫:34㎡\n沿边清扫轻微漏扫","滤网寿命:剩余75天\n尘盒清理:每4天","清洁效率优于68%小户型用户","2025-07"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:85%\n餐桌区域漏扫:2次/天\n避障成功率:89%","主刷磨损:轻度+\n水箱加水:每日3次","大理石地面清洁效果低于同类17%","2025-07"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:84%\n自动回充成功率:91%","胶刷缠绕:中度+\n滤网更换:剩余25天","养宠家庭中清洁效率处于中下水平","2025-07"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:81%\n手动辅助清扫:4次/天\n定时清扫使用率:55%","电池衰减:16%\n边刷寿命:剩余40天","大户型中操作便捷性低于同类22%","2025-07"
"1011","60㎡公寓 | 单身 | 木地板","覆盖率:85%\n日均清扫:43㎡\n漏扫区域:床底","主刷寿命:剩余48天\nHEPA滤网:剩余30%","优于64%同面积用户","2025-07"
"1012","75㎡公寓 | 情侣 | 瓷砖","覆盖率:86%\n避障失败:3次/周","边刷磨损:中度+\n尘盒清理:每2天","拖地功能使用率低于同类5%","2025-07"
"1013","95㎡ | 1狗 | 长毛地毯","毛发清理:89%\n地毯增压使用:13次/月","胶刷更换:剩余21天\n尘盒容量:每日清理2次","毛发处理效率前20%","2025-07"
"1014","88㎡ | 1猫 | 混合地面","猫砂泼洒处理:8次/月\n自动回充成功率:87%","主刷缠绕:严重+\n滤网更换:紧急","建议升级吸力+更换防缠绕主刷","2025-07"
"1015","110㎡ | 老人 | 防滑砖","手动操作占比:95%\n定时清扫未使用（操作遗忘）","电池衰减:24%\n水箱未激活","需重新指导语音控制功能使用","2025-07"
"1016","160㎡别墅 | 儿童 | 多层","跨楼层失败:5次/周\n玩具避障率:70%","边刷更换:待更换\n集尘袋消耗:1.4个/月","机械臂配件故障+需检修跨楼层导航","2025-07"
"1017","50㎡一居 | 独居 | 复合地板","覆盖率:88%\n日均清扫:32㎡\n沿边清扫轻微漏扫","滤网寿命:剩余71天\n尘盒清理:每4天","清洁效率优于66%小户型用户","2025-07"
"1018","105㎡三居 | 三口之家 | 大理石","覆盖率:84%\n餐桌区域漏扫:2次/天\n避障成功率:88%","主刷磨损:轻度+\n水箱加水:每日3次","大理石地面清洁效果低于同类14%","2025-07"
"1019","78㎡两居 | 养宠 | 仿实木","宠物毛发清理:83%\n自动回充成功率:90%","胶刷缠绕:中度+\n滤网更换:剩余21天","养宠家庭中清洁效率处于下游水平","2025-07"
"1020","125㎡四居 | 三代同堂 | 通体砖","覆盖率:80%\n手动辅助清扫:4次/天\n定时清扫使用率:52%","电池衰减:15%\n边刷寿命:剩余35天","大户型中操作便捷性低于同类20%","2025-07"
